Rank,Title,Year,Rating,URL
60,The Santa Clause,1994,6.4,https://www.imdb.com/title/tt0111070/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_60
61,Home Alone 2: Lost in New York,1992,6.6,https://www.imdb.com/title/tt0104431/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_61
62,Atomic Blonde,2017,6.8,https://www.imdb.com/title/tt2406566/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_62
63,Battle of the Sexes,2017,6.8,https://www.imdb.com/title/tt4622512/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_63
64,Spider-Man Homecoming,2017,7.6,https://www.imdb.com/title/tt2250912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_64
65,Flatliners,2017,5.1,https://www.imdb.com/title/tt2039338/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_65
66,Overboard,2018,NA,https://www.imdb.com/title/tt1563742/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_66
67,The Snowman,2017,5.1,https://www.imdb.com/title/tt1758810/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_67
68,Star Wars: Episode IV - A New Hope,1977,8.7,https://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_68
69,Den of Thieves,2018,NA,https://www.imdb.com/title/tt1259528/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_69
70,Blade Runner,1982,8.2,https://www.imdb.com/title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_70
71,Father Figures,2017,5.0,https://www.imdb.com/title/tt1966359/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_71
72,Scrooged,1988,7.0,https://www.imdb.com/title/tt0096061/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_72
73,Valerian and the City of a Thousand Planets,2017,6.5,https://www.imdb.com/title/tt2239822/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_73
74,Kingsman: The Secret Service,2014,7.7,https://www.imdb.com/title/tt2802144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_74
75,The Polar Express,2004,6.6,https://www.imdb.com/title/tt0338348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_75
76,Wind River,2017,7.8,https://www.imdb.com/title/tt5362988/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_76
77,The Room,2003,3.6,https://www.imdb.com/title/tt0368226/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_77
78,Logan,2017,8.1,https://www.imdb.com/title/tt3315342/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_78
79,Harry Potter and the Philosopher's Stone,2001,7.6,https://www.imdb.com/title/tt0241527/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_79
80,Mum and Dad,2017,6.6,https://www.imdb.com/title/tt5462326/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_80
81,Tiger Zinda Hai,2017,6.8,https://www.imdb.com/title/tt5956100/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_81
82,The Holiday,2006,6.9,https://www.imdb.com/title/tt0457939/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_82
83,Brawl in Cell Block 99,2017,7.2,https://www.imdb.com/title/tt5657856/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_83
84,What Happened to Monday,2017,6.9,https://www.imdb.com/title/tt1536537/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_84
85,Star Wars: Episode I - The Phantom Menace,1999,6.5,https://www.imdb.com/title/tt0120915/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_85
86,The Santa Clause 2,2002,5.6,https://www.imdb.com/title/tt0304669/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_86
87,Beyond Skyline,2017,5.5,https://www.imdb.com/title/tt1724970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_87
88,American Assassin,2017,6.2,https://www.imdb.com/title/tt1961175/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_88
89,The Predator,2018,NA,https://www.imdb.com/title/tt3829266/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_89
90,The Hitman's Bodyguard,2017,7.0,https://www.imdb.com/title/tt1959563/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_90
91,M:I 6 - Mission Impossible,2018,NA,https://www.imdb.com/title/tt4912910/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_91
92,Mary Poppins Returns,2018,NA,https://www.imdb.com/title/tt5028340/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_92
93,Cinderella,2015,7.0,https://www.imdb.com/title/tt1661199/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2240084082&pf_rd_r=179NF635AX41PN9KBAJC&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_93
